City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Dingle,PH,10.9995,122.6711,76.48,88,100,4.59,light rain
178,Kikwit,CD,-5.041,18.8162,77.52,72,65,2.82,broken clouds
179,Dikson,RU,73.5069,80.5464,-12.5,96,100,17.18,overcast clouds
180,Fuerte Olimpo,PY,-21.0415,-57.8738,99.37,23,15,8.72,few clouds
181,Saskylakh,RU,71.9167,114.0833,-14.26,100,70,5.59,broken clouds
182,Severo-Yeniseyskiy,RU,60.3725,93.0408,34.23,97,100,18.19,overcast clouds
183,College,US,64.8569,-147.8028,33.8,69,75,1.81,broken clouds
184,Nanakuli,US,21.3906,-158.1547,75.0,64,1,4.61,clear sky
185,Poopo,BO,-18.3667,-66.9667,56.73,20,24,6.24,few clouds
186,Merauke,ID,-8.4667,140.3333,76.98,86,11,11.05,few clouds
187,Talnakh,RU,69.4865,88.3972,-1.26,91,100,21.5,overcast clouds
188,Fengrun,CN,39.8333,118.1167,50.0,28,9,11.01,clear sky
189,Ahipara,NZ,-35.1667,173.1667,61.65,89,59,6.13,broken clouds
190,Airai,TL,-8.9266,125.4092,56.08,78,86,1.99,overcast clouds
191,Abalak,RU,58.1286,68.5944,51.85,82,15,7.16,few clouds
192,Zhanaozen,KZ,43.3,52.8,58.14,51,19,10.74,few clouds
193,Iqaluit,CA,63.7506,-68.5145,6.8,72,75,21.85,broken clouds
194,Severnoye,RU,56.3491,78.3619,38.48,99,100,9.15,overcast clouds
195,Saint-Louis,SN,16.3333,-15.0,104.0,16,0,2.3,clear sky
196,Vila,PT,42.0304,-8.1588,66.99,60,22,3.2,few clouds
197,Puerto Escondido,MX,15.85,-97.0667,86.0,79,40,6.91,scattered clouds
198,Luderitz,NA,-26.6481,15.1594,72.86,42,2,4.63,clear sky
199,Derzhavinsk,KZ,51.1,66.3167,49.8,46,0,7.45,clear sky
200,Vila Velha,BR,-20.3297,-40.2925,82.0,57,20,16.11,few clouds
201,Laguna,US,38.421,-121.4238,64.99,48,1,6.91,clear sky
202,Ancud,CL,-41.8697,-73.8203,63.0,51,20,3.44,few clouds
203,Ceres,US,37.5949,-120.9577,64.99,36,1,3.44,clear sky
204,Calbuco,CL,-41.768,-73.1273,57.2,77,20,5.75,few clouds
205,Filadelfia,US,39.9523,-75.1638,63.0,63,90,12.66,overcast clouds
206,Alice Springs,AU,-23.7,133.8833,61.0,63,90,9.22,overcast clouds
207,Faya,SA,18.3851,42.4509,69.8,34,40,3.44,scattered clouds
208,Kavieng,PG,-2.5744,150.7967,81.14,77,87,6.17,light rain
209,Abu Dhabi,AE,24.4667,54.3667,82.4,54,0,9.22,clear sky
210,Faanui,PF,-16.4833,-151.75,81.91,74,97,12.33,light rain
211,Wawa,NG,9.9022,4.4192,94.89,26,90,4.41,overcast clouds
212,Lerwick,GB,60.1545,-1.1494,46.4,71,0,6.91,clear sky
213,Grindavik,IS,63.8424,-22.4338,46.4,100,90,31.07,mist
214,Coahuayana,MX,18.7333,-103.6833,86.0,45,1,8.05,clear sky
215,Gizo,SB,-8.103,156.8419,82.2,77,95,8.7,overcast clouds
216,Sikasso,ML,10.9167,-7.0,100.89,17,67,3.49,broken clouds
217,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,75,10.36,broken clouds
218,Xingyi,CN,24.1877,102.817,60.17,46,58,4.56,broken clouds
219,Hansot,IN,21.5833,72.8,87.57,39,0,14.38,clear sky
220,Srednekolymsk,RU,67.45,153.6833,0.99,97,100,3.74,overcast clouds
221,Kahului,US,20.8947,-156.47,75.2,69,20,12.66,light rain
222,Aden,YE,12.7794,45.0367,81.23,72,3,16.67,clear sky
223,Kamina,CD,-8.7386,24.9906,66.11,91,78,1.88,light rain
224,Bakuriani,GE,41.7497,43.5325,40.66,67,99,1.83,overcast clouds
225,Tura,IN,25.5198,90.2201,78.17,41,100,5.55,overcast clouds
226,Behshahr,IR,36.6923,53.5526,57.2,82,0,2.3,clear sky
227,Elizabeth City,US,36.2946,-76.2511,68.0,64,75,9.22,broken clouds
228,Acapulco,MX,16.8634,-99.8901,84.2,61,75,8.05,broken clouds
229,Mattru,SL,7.6244,-11.8332,84.97,64,48,7.0,scattered clouds
230,Gwadar,PK,25.1216,62.3254,81.37,70,32,7.72,scattered clouds
231,Xai-Xai,MZ,-25.0519,33.6442,71.51,78,0,7.18,clear sky
232,Hofn,IS,64.2539,-15.2082,45.25,96,100,29.93,moderate rain
233,La Huacana,MX,18.9667,-101.8167,82.4,18,1,11.5,clear sky
234,Tecoanapa,MX,16.5167,-98.75,85.3,54,97,10.92,overcast clouds
235,Weinan,CN,34.5036,109.5089,55.99,76,0,2.24,clear sky
236,Kaniama,CD,-7.5667,24.1833,67.15,90,67,2.26,broken clouds
237,Jaguarao,BR,-32.5661,-53.3758,71.01,79,100,3.02,moderate rain
238,Shetpe,KZ,44.1667,52.1167,56.34,58,2,8.93,clear sky
239,Jalu,LY,29.0331,21.5482,80.28,16,53,10.6,broken clouds
240,Gazanjyk,TM,39.2446,55.5154,71.01,35,6,8.79,clear sky
241,Fountain,US,38.6822,-104.7008,41.0,75,90,11.5,overcast clouds
242,Polunochnoye,RU,60.8697,60.4153,34.68,71,94,8.12,overcast clouds
243,Mindszent,HU,46.5236,20.1904,41.0,68,100,1.01,overcast clouds
244,Port Lincoln,AU,-34.7333,135.8667,58.59,81,21,5.77,few clouds
245,Maarianhamina,AX,60.0973,19.9348,37.4,56,0,5.75,clear sky
246,Aklavik,CA,68.2191,-135.0107,19.4,73,90,5.75,overcast clouds
247,Camacha,PT,33.0833,-16.3333,64.4,82,75,17.27,broken clouds
248,Alta Floresta,BR,-9.8756,-56.0861,89.6,58,40,5.75,scattered clouds
249,Zaterechnyy,RU,44.7931,45.2097,56.5,56,55,9.42,broken clouds
250,Birjand,IR,32.8663,59.2211,59.0,47,75,4.0,broken clouds
251,San Luis,AR,-33.295,-66.3356,79.88,33,0,1.19,clear sky
252,Ambon,ID,-3.6954,128.1814,80.78,73,97,6.29,overcast clouds
253,Shache,CN,38.4167,77.2406,62.15,29,100,10.89,light rain
254,Ponta Do Sol,PT,32.6667,-17.1,68.0,64,40,11.5,scattered clouds
255,Leningradskiy,RU,69.3833,178.4167,14.74,81,77,8.43,broken clouds
256,Hoa Binh,VN,20.8133,105.3383,77.0,100,90,5.75,overcast clouds
257,Mogadishu,SO,2.0371,45.3438,82.8,71,100,14.85,overcast clouds
258,Alofi,NU,-19.0595,-169.9187,64.4,100,4,1.14,clear sky
259,Tiksi,RU,71.6872,128.8694,-4.85,100,89,2.51,overcast clouds
260,Glendive,US,47.1053,-104.7125,39.99,60,90,3.42,overcast clouds
261,Olga,RU,43.7444,135.2892,37.18,92,100,5.99,overcast clouds
262,Kenai,US,60.5544,-151.2583,37.99,86,1,4.61,clear sky
263,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,30,0,14.97,clear sky
264,Nemuro,JP,43.3236,145.575,35.2,66,5,7.76,clear sky
265,Bara,NG,10.3744,10.7288,96.8,17,0,9.22,clear sky
266,Charters Towers,AU,-20.1,146.2667,65.25,92,16,5.79,few clouds
267,Adrar,MR,20.5022,-10.0711,91.89,13,10,9.73,clear sky
268,Ixtapa,MX,20.7,-105.2,78.8,69,1,10.36,clear sky
269,Fairbanks,US,64.8378,-147.7164,33.8,80,40,1.63,scattered clouds
270,Palana,RU,59.1167,159.9667,25.39,98,100,4.88,snow
271,Formosa,AR,-26.1775,-58.1781,86.5,55,24,6.53,few clouds
272,Margate,GB,51.3813,1.3862,44.01,67,10,8.01,clear sky
273,Constitucion,CL,-35.3333,-72.4167,67.39,56,1,14.45,clear sky
274,Rawson,AR,-43.3002,-65.1023,67.26,29,0,5.55,clear sky
275,Victor Harbor,AU,-35.5667,138.6167,55.99,85,24,5.26,few clouds
276,Luba,GQ,3.4568,8.5547,84.2,79,20,9.22,few clouds
277,Coihaique,CL,-45.5752,-72.0662,55.4,58,75,4.61,broken clouds
278,Pevek,RU,69.7008,170.3133,17.65,81,100,21.81,overcast clouds
279,Payo,ID,-3.7508,103.6372,72.32,99,100,0.96,overcast clouds
280,San Patricio,US,28.017,-97.5169,75.2,94,90,14.97,light intensity drizzle
281,Utinga,BR,-5.8172,-35.3954,86.0,62,40,14.97,scattered clouds
282,Narsaq,GL,60.9167,-46.05,35.6,44,75,16.11,broken clouds
283,Monrovia,LR,6.3005,-10.7969,87.8,66,20,9.22,few clouds
284,Ambilobe,MG,-13.2,49.05,74.43,93,67,3.31,broken clouds
285,Pandan,PH,14.0453,124.1694,78.84,88,100,8.86,overcast clouds
286,Aksarka,RU,66.5606,67.7975,10.76,85,96,16.89,overcast clouds
287,Bubaque,GW,11.2833,-15.8333,77.81,75,27,15.5,scattered clouds
288,Nyurba,RU,63.2842,118.3319,7.95,96,53,4.76,broken clouds
289,Saint-Denis,FR,48.9167,2.3333,50.0,37,0,11.5,clear sky
290,Lompoc,US,34.6391,-120.4579,59.0,71,9,9.22,clear sky
291,Fukue,JP,32.6881,128.8419,61.05,68,73,13.0,broken clouds
292,Gillette,US,44.2911,-105.5022,32.0,86,90,4.61,light snow
293,Buala,SB,-8.145,159.5921,79.48,81,36,2.84,scattered clouds
294,Chokurdakh,RU,70.6333,147.9167,-23.06,100,36,2.33,scattered clouds
295,Padang,ID,-0.9492,100.3543,77.13,85,100,2.75,overcast clouds
296,Yuci,CN,37.6803,112.7319,41.0,36,0,2.24,dust
297,Biak,ID,-0.9131,122.8766,74.8,83,100,4.74,overcast clouds
298,Gola Bazar,IN,26.3431,83.3553,89.24,12,91,8.72,overcast clouds
299,Amuntai,ID,-2.4177,115.2494,73.49,96,71,0.92,broken clouds
300,Sann,PK,26.0418,68.1378,80.6,50,75,23.02,drizzle
301,Syracuse,IT,37.0881,15.2792,55.4,94,75,10.36,heavy intensity drizzle
302,Grand Bank,CA,47.0999,-55.765,41.0,70,75,9.22,broken clouds
303,Siparia,TT,10.1333,-61.5,88.0,74,92,8.99,overcast clouds
304,Kemin,KG,42.7846,75.6892,53.33,70,80,3.36,broken clouds
305,Nsoko,SZ,-27.0333,31.95,77.0,73,4,1.14,clear sky
306,Ithaca,US,42.4406,-76.4966,43.0,93,90,12.66,moderate rain
307,Vanimo,PG,-2.6741,141.3028,76.66,90,68,3.78,broken clouds
308,Kanniyakumari,IN,8.0833,77.5667,82.98,76,86,11.41,overcast clouds
309,Maamba,ZM,-17.3667,27.15,68.11,50,62,5.12,broken clouds
310,Mazagao,BR,-0.115,-51.2894,86.0,74,40,6.91,moderate rain
311,Luwingu,ZM,-10.2621,29.9271,62.73,93,94,3.44,light rain
312,Peniche,PT,39.3558,-9.3811,66.0,85,65,5.99,broken clouds
313,Sao Filipe,CV,14.8961,-24.4956,73.65,71,1,14.36,clear sky
314,Santiago De Cao,PE,-7.9589,-79.2392,69.8,78,100,16.11,overcast clouds
315,Longyearbyen,SJ,78.2186,15.6401,21.2,79,75,14.97,broken clouds
316,Glens Falls,US,43.3095,-73.644,51.01,87,90,3.44,overcast clouds
317,Bay-Khaak,RU,51.1667,94.5,35.73,60,24,3.0,few clouds
318,Ust-Tsilma,RU,65.441,52.1498,29.43,87,86,1.48,light snow
319,Norman Wells,CA,65.282,-126.8329,35.6,64,75,4.61,broken clouds
320,Ciudad Bolivar,VE,8.1222,-63.5497,92.26,41,75,1.83,broken clouds
321,San Juan Del Sur,NI,11.2529,-85.8705,86.0,62,40,6.91,scattered clouds
322,Nanortalik,GL,60.1432,-45.2371,28.35,72,58,36.15,broken clouds
323,Praia Da Vitoria,PT,38.7333,-27.0667,68.0,73,40,4.81,scattered clouds
324,Cap Malheureux,MU,-19.9842,57.6142,80.01,82,99,7.0,light rain
325,Lithakia,GR,37.7167,20.8333,57.2,54,75,6.91,broken clouds
326,Deputatskiy,RU,69.3,139.9,-17.88,96,97,4.34,overcast clouds
327,Potosi,BO,-19.5836,-65.7531,58.96,17,20,5.03,few clouds
328,Lata,PT,40.1629,-8.3327,66.99,75,59,4.0,broken clouds
329,Three Hills,CA,51.7001,-113.2686,54.0,32,0,4.61,clear sky
330,Guane,CU,22.2025,-84.0875,87.37,43,16,13.91,few clouds
331,Meadow Lake,US,34.8014,-106.5436,71.01,22,75,13.8,broken clouds
332,Bambous Virieux,MU,-20.3428,57.7575,80.01,94,75,2.3,light rain
333,Ostrovnoy,RU,68.0531,39.5131,24.51,93,99,4.97,overcast clouds
334,Guanare,VE,9.0418,-69.7421,92.55,44,76,2.68,broken clouds
335,Saint-Felicien,CA,48.6501,-72.4491,59.0,28,20,5.75,few clouds
336,Menongue,AO,-14.6585,17.691,66.67,71,97,2.95,light rain
337,Kindia,GN,10.0569,-12.8658,77.85,71,61,3.87,moderate rain
338,Itacare,BR,-14.2775,-38.9967,84.2,70,75,21.85,broken clouds
339,Robertsport,LR,6.7533,-11.3686,83.37,74,45,10.0,scattered clouds
340,Surt,LY,31.2089,16.5887,63.36,74,51,19.53,broken clouds
341,Mandalay,MM,21.9747,96.0836,90.0,28,99,4.72,overcast clouds
342,Pangody,RU,65.85,74.4859,10.65,91,99,17.16,overcast clouds
343,Wenatchee,US,47.4235,-120.3103,62.01,33,1,3.44,clear sky
344,Elko,US,41.0002,-115.5012,42.8,56,90,3.44,overcast clouds
345,Pontianak,ID,-0.0333,109.3333,73.4,100,98,2.3,overcast clouds
346,Carpinteria,US,34.3989,-119.5185,64.0,50,27,3.0,scattered clouds
347,Havelock,US,34.8791,-76.9013,73.99,64,90,11.5,overcast clouds
