City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Katherine,AU,2021-04-13 19:28:16,-14.4667,132.2667,62.6,82,50,8.05
171,Mount Gambier,AU,2021-04-13 19:28:17,-37.8333,140.7667,55.4,88,40,13.8
172,Kutum,SD,2021-04-13 19:25:09,14.2,24.6667,72.46,7,2,10.76
173,Namatanai,PG,2021-04-13 19:28:18,-3.6667,152.4333,77.7,79,100,6.58
174,Bowen,AU,2021-04-13 19:28:18,-20.0167,148.2333,69.8,94,75,6.91
175,Laguna,US,2021-04-13 19:28:18,38.421,-121.4238,71.01,34,1,10.36
176,Karratha,AU,2021-04-13 19:28:19,-20.7377,116.8463,81.07,73,81,13.24
177,Bam,IR,2021-04-13 19:28:19,29.106,58.357,75.54,28,100,6.8
178,Kanker,IN,2021-04-13 19:28:19,20.2719,81.4931,80.51,13,92,4.63
179,Zhigansk,RU,2021-04-13 19:28:20,66.7697,123.3711,15.03,92,100,19.6
180,Goderich,CA,2021-04-13 19:28:20,43.7501,-81.7165,57.2,41,44,5.75
181,Cidreira,BR,2021-04-13 19:28:20,-30.1811,-50.2056,73.11,56,12,8.12
182,Wetaskiwin,CA,2021-04-13 19:28:21,52.9668,-113.3687,42.8,33,87,10.36
183,Ometepec,MX,2021-04-13 19:28:21,16.6833,-98.4167,96.22,22,0,10.0
184,Abalak,RU,2021-04-13 19:28:21,58.1286,68.5944,41.31,76,26,7.78
185,Mehamn,NO,2021-04-13 19:28:22,71.0357,27.8492,28.4,69,75,19.57
186,Linhares,BR,2021-04-13 19:28:22,-19.3911,-40.0722,82.69,59,4,10.8
187,Bambous Virieux,MU,2021-04-13 19:23:35,-20.3428,57.7575,79.0,83,75,5.75
188,Mnogovershinnyy,RU,2021-04-13 19:28:22,53.9353,139.9242,14.36,94,100,15.05
189,Cayenne,GF,2021-04-13 19:28:23,4.9333,-52.3333,86.0,70,40,12.66
190,East London,ZA,2021-04-13 19:28:23,-33.0153,27.9116,71.6,94,0,6.91
191,Luang Prabang,LA,2021-04-13 19:28:23,19.8856,102.1347,70.29,94,98,0.69
192,Shenjiamen,CN,2021-04-13 19:28:23,29.9576,122.298,52.81,85,100,15.52
193,Bengkulu,ID,2021-04-13 19:28:24,-3.8004,102.2655,76.68,90,100,3.09
194,Yellowknife,CA,2021-04-13 19:28:19,62.456,-114.3525,35.01,69,75,13.8
195,Kruisfontein,ZA,2021-04-13 19:24:48,-34.0033,24.7314,66.0,93,11,1.99
196,Dunedin,NZ,2021-04-13 19:28:24,-45.8742,170.5036,54.0,92,100,3.0
197,Sambava,MG,2021-04-13 19:23:51,-14.2667,50.1667,75.87,90,100,9.71
198,Faanui,PF,2021-04-13 19:28:25,-16.4833,-151.75,80.76,73,99,10.94
199,Nizhniy Baskunchak,RU,2021-04-13 19:28:25,48.2198,46.8311,57.42,34,95,8.16
200,Miri,MY,2021-04-13 19:28:25,4.4148,114.0089,78.01,88,40,2.3
201,Talcahuano,CL,2021-04-13 19:28:26,-36.7167,-73.1167,68.0,64,0,13.8
202,Rapid Valley,US,2021-04-13 19:28:26,44.0625,-103.1463,41.0,38,1,28.77
203,Avarua,CK,2021-04-13 19:28:26,-21.2078,-159.775,80.6,74,20,1.14
204,Batemans Bay,AU,2021-04-13 19:28:27,-35.7167,150.1833,57.0,76,90,6.17
205,Kiunga,PG,2021-04-13 19:28:27,-6.1219,141.2906,70.16,99,92,1.21
206,Mirabad,AF,2021-04-13 19:28:27,30.4362,61.8383,78.75,29,100,12.03
207,Kirakira,SB,2021-04-13 19:25:09,-10.4544,161.9205,78.31,85,100,4.38
208,Goundam,ML,2021-04-13 19:28:28,16.4145,-3.6708,91.6,6,0,1.19
209,Vestmanna,FO,2021-04-13 19:28:28,62.1564,-7.1664,42.8,93,75,10.36
210,Kautokeino,NO,2021-04-13 19:28:28,69.0125,23.0412,9.93,90,97,2.46
211,Saint-Pierre,RE,2021-04-13 19:28:29,-21.3393,55.4781,78.8,73,0,4.61
212,Olinda,BR,2021-04-13 19:28:29,-8.0089,-34.8553,80.6,74,40,9.22
213,Elbistan,TR,2021-04-13 19:28:29,38.2059,37.1983,43.81,64,5,3.87
214,Port Hedland,AU,2021-04-13 19:28:30,-20.3167,118.5667,75.2,88,1,5.75
215,Broken Hill,AU,2021-04-13 19:28:30,-31.95,141.4333,68.0,18,40,11.5
216,Verkhoyansk,RU,2021-04-13 19:25:36,67.5447,133.385,-11.96,100,96,1.12
217,Immokalee,US,2021-04-13 19:28:30,26.4187,-81.4173,90.0,27,1,11.5
218,Siderno,IT,2021-04-13 19:28:31,38.2779,16.302,57.2,62,6,12.66
219,Akyab,MM,2021-04-13 19:28:31,20.15,92.9,79.9,77,1,5.19
220,Marbel,PH,2021-04-13 19:28:31,7.1158,124.9125,75.43,90,100,0.65
221,Port Augusta,AU,2021-04-13 19:28:31,-32.5,137.7667,60.01,72,75,4.61
222,Lukashin,AM,2021-04-13 19:28:32,40.1758,44.0186,48.2,66,20,3.44
223,Payson,US,2021-04-13 19:27:53,40.0444,-111.7321,55.0,28,75,11.5
224,San Andres,CO,2021-04-13 19:28:32,12.5847,-81.7006,87.8,70,40,12.66
225,Tokur,RU,2021-04-13 19:28:33,53.1333,132.9,7.86,90,100,3.98
226,Meulaboh,ID,2021-04-13 19:26:16,4.1363,96.1285,76.17,85,100,3.91
227,Borodino,RU,2021-04-13 19:28:33,55.9106,94.8983,30.52,91,93,13.82
228,Gamba,GA,2021-04-13 19:24:17,-2.65,10.0,79.93,84,100,5.46
229,Nuwara Eliya,LK,2021-04-13 19:26:18,6.9708,80.7829,56.7,96,96,0.81
230,Atlantic City,US,2021-04-13 19:24:23,39.3643,-74.4229,60.8,44,1,4.61
231,Kotido,UG,2021-04-13 19:28:34,2.9806,34.1331,73.04,65,100,3.58
232,Ploemeur,FR,2021-04-13 19:28:34,47.7333,-3.4333,48.99,46,0,9.22
233,Fortuna,US,2021-04-13 19:23:46,40.5982,-124.1573,61.0,67,1,13.8
234,Grindavik,IS,2021-04-13 19:28:34,63.8424,-22.4338,44.6,81,40,10.36
235,Souillac,MU,2021-04-13 19:28:35,-20.5167,57.5167,78.8,83,75,5.75
236,Port Macquarie,AU,2021-04-13 19:28:35,-31.4333,152.9167,51.01,96,4,6.53
237,Lagoa,PT,2021-04-13 19:28:35,39.05,-27.9833,60.37,91,98,19.1
238,Omsukchan,RU,2021-04-13 19:28:36,62.5333,155.8,-20.29,99,29,3.22
239,Nikolskoye,RU,2021-04-13 19:28:36,59.7035,30.7861,42.01,65,0,15.66
240,Codrington,AU,2021-04-13 19:28:36,-38.2667,141.9667,54.99,77,1,15.28
241,Fare,PF,2021-04-13 19:28:37,-16.7,-151.0167,82.36,69,93,12.77
242,Fort-Shevchenko,KZ,2021-04-13 19:25:08,44.5086,50.263,63.46,21,97,13.35
243,Rio Grande,BR,2021-04-13 19:28:37,-32.035,-52.0986,77.0,50,20,6.91
244,Scarborough,GB,2021-04-13 19:28:37,54.2797,-0.4044,43.0,76,93,4.94
245,Juba,SS,2021-04-13 19:28:38,4.8517,31.5825,76.23,69,100,7.83
246,Tarragona,ES,2021-04-13 19:26:58,41.129,1.249,57.0,82,40,3.44
247,Ahipara,NZ,2021-04-13 19:28:38,-35.1667,173.1667,62.65,70,3,13.31
248,Porto Belo,BR,2021-04-13 19:28:38,-27.1578,-48.5531,79.0,53,20,9.22
249,Arlit,NE,2021-04-13 19:28:39,18.7369,7.3853,90.37,6,0,4.92
250,Imbituba,BR,2021-04-13 19:28:39,-28.24,-48.6703,77.0,53,20,11.5
251,Iskateley,RU,2021-04-13 19:25:12,67.6803,53.1512,27.88,97,100,6.89
252,Pevek,RU,2021-04-13 19:28:39,69.7008,170.3133,-16.62,99,100,4.61
253,Orange Cove,US,2021-04-13 19:28:40,36.6244,-119.3137,75.99,30,0,4.9
254,Hami,CN,2021-04-13 19:28:40,42.8,93.45,52.43,21,0,4.74
255,Yeppoon,AU,2021-04-13 19:28:40,-23.1333,150.7333,62.6,77,0,8.05
256,Esperance,AU,2021-04-13 19:28:41,-33.8667,121.9,53.6,94,90,6.91
257,Bonoua,CI,2021-04-13 19:28:41,5.2741,-3.595,86.0,79,20,8.05
258,Kihei,US,2021-04-13 19:28:41,20.785,-156.4656,75.2,69,40,11.5
259,Tocopilla,CL,2021-04-13 19:28:42,-22.092,-70.1979,71.71,65,22,6.87
260,Akdepe,TM,2021-04-13 19:28:42,42.0551,59.3788,64.4,29,0,9.22
261,Magistralnyy,RU,2021-04-13 19:28:42,56.1725,107.4458,24.69,90,8,4.81
262,Challapalle,IN,2021-04-13 19:28:43,16.1167,80.9333,81.91,74,13,5.97
263,Kudahuvadhoo,MV,2021-04-13 19:28:43,2.6708,72.8944,83.28,69,20,6.93
264,Lata,PT,2021-04-13 19:28:43,40.1629,-8.3327,63.0,94,100,1.99
265,Claremore,US,2021-04-13 19:28:43,36.3126,-95.6161,68.0,29,1,11.5
266,Chifeng,CN,2021-04-13 19:28:44,42.2683,118.9636,34.63,38,0,3.29
267,Vanavara,RU,2021-04-13 19:28:44,60.34,102.2797,25.2,92,100,7.74
268,Dalbandin,PK,2021-04-13 19:24:07,28.8947,64.4101,79.54,17,100,5.97
269,Nelson,NZ,2021-04-13 19:28:40,-41.2833,173.2833,51.01,95,27,1.99
270,Pozo Colorado,PY,2021-04-13 19:28:45,-23.4923,-58.7972,91.0,34,14,5.39
271,Sioux Lookout,CA,2021-04-13 19:28:45,50.1001,-91.917,35.6,100,90,6.91
272,Bidar,IN,2021-04-13 19:28:45,17.9,77.55,84.36,35,87,5.93
273,Port Hardy,CA,2021-04-13 19:26:14,50.6996,-127.4199,46.4,71,40,4.61
274,New Waterford,US,2021-04-13 19:28:46,40.8451,-80.6145,69.01,39,99,3.0
275,Airai,TL,2021-04-13 19:28:46,-8.9266,125.4092,57.42,80,25,1.86
276,Sept-Iles,CA,2021-04-13 19:28:46,50.2001,-66.3821,44.01,65,7,6.91
277,Touros,BR,2021-04-13 19:28:47,-5.1989,-35.4608,86.0,66,40,17.27
278,Ust-Kuyga,RU,2021-04-13 19:28:47,70.0167,135.6,-12.03,96,57,5.41
279,Mount Isa,AU,2021-04-13 19:28:47,-20.7333,139.5,59.0,33,1,9.6
280,Thompson,CA,2021-04-13 19:28:48,55.7435,-97.8558,26.6,43,40,14.97
281,Nagato,JP,2021-04-13 19:28:48,34.3833,131.2,55.4,76,75,8.05
282,Maues,BR,2021-04-13 19:28:48,-3.3836,-57.7186,83.55,84,100,2.04
283,Vardo,NO,2021-04-13 19:28:48,70.3705,31.1107,28.4,74,0,8.05
284,Pachino,IT,2021-04-13 19:24:28,36.7186,15.0907,53.6,87,7,4.61
285,Beringovskiy,RU,2021-04-13 19:28:49,63.05,179.3167,8.6,91,98,12.06
286,Tadine,NC,2021-04-13 19:28:49,-21.55,167.8833,75.54,86,31,6.17
287,Porto Novo,BJ,2021-04-13 19:25:45,6.4965,2.6036,86.0,74,40,12.66
288,Abeche,TD,2021-04-13 19:28:50,13.8292,20.8324,85.05,5,79,11.72
289,Saint-Francois,FR,2021-04-13 19:28:50,46.4154,3.9054,42.01,65,0,6.91
290,Yulara,AU,2021-04-13 19:28:50,-25.2406,130.9889,71.6,64,6,13.8
291,Nurota,UZ,2021-04-13 19:28:50,40.5614,65.6886,57.2,33,0,9.22
292,Shouguang,CN,2021-04-13 19:28:51,36.88,118.7375,41.92,57,14,6.76
293,Portland,US,2021-04-13 19:24:51,45.5234,-122.6762,62.01,20,1,12.66
294,Merrill,US,2021-04-13 19:27:02,45.1805,-89.6835,37.4,70,90,11.5
