City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Pontianak,ID,73.4,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
347,Havelock,US,73.99,overcast clouds,34.8791,-76.9013,Sherwood Motel
348,Sungairaya,ID,77.95,scattered clouds,0.7,108.9,Mess P.Milu
349,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
355,Jawhar,SO,81.32,overcast clouds,2.7809,45.5005,cosoble spare parts
360,Caravelas,BR,79.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
361,Ahuimanu,US,75.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
362,Acarau,BR,83.21,overcast clouds,-2.8856,-40.12,castelo pizzaria
375,Vallenar,CL,82.4,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
379,Mangan,IN,70.41,overcast clouds,27.5167,88.5333,Hotel Mout View
382,Namatanai,PG,78.84,overcast clouds,-3.6667,152.4333,Namatanai Hotel
389,Gunjur,GM,78.8,broken clouds,13.2019,-16.7339,Kuba Lodge
390,Tabou,CI,83.01,broken clouds,4.423,-7.3528,hotêl doufoulougou
395,Karratha,AU,81.36,clear sky,-20.7377,116.8463,ibis Styles Karratha
399,Olinda,BR,77.0,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
400,Morondava,MG,79.84,light rain,-20.2833,44.2833,La Case Bambou
402,Eyl,SO,81.41,few clouds,7.9803,49.8164,Amiin Hotel
405,Saldanha,ZA,80.6,broken clouds,-33.0117,17.9442,Blue Bay Lodge
413,Road Town,VG,84.2,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
414,Sabang,ID,83.8,broken clouds,5.8933,95.3214,Hotel Citra
418,Fomboni,KM,82.92,scattered clouds,-12.28,43.7425,Relais Singani
419,Port Hedland,AU,75.2,clear sky,-20.3167,118.5667,The Esplanade Hotel
423,Kabanjahe,ID,78.8,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
424,Tondano,ID,77.0,few clouds,1.3038,124.9112,Villa Bella
429,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
431,Capalonga,PH,77.29,overcast clouds,14.3306,122.4937,Maximar Apartelle
434,Itarema,BR,83.7,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
436,Labuhan,ID,78.3,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
439,Abu Kamal,SY,73.4,clear sky,34.4506,40.9171,محطة التلفاز
444,Rocha,UY,73.99,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
452,Boa Vista,BR,77.0,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
455,Richards Bay,ZA,71.94,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
463,Belmonte,BR,80.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
466,Bourail,NC,73.08,broken clouds,-21.5667,165.4833,Motel Allamanda
475,Amahai,ID,77.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
476,San Vicente,AR,77.02,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
479,Namibe,AO,80.47,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
